            diagnosis       F1          F2          F3           F4          F5         F6         F7         F8          F9          F10         F11         F12         F13        F14         F15         F16        F17        F18          F19          F20          F21          F22         F23         F24         F25         F26         F27         F28         F29       F30
---------  -----------  ----------  ----------  -----------  -----------  ---------  ---------  ---------  ---------  ----------  -----------  ----------  ----------  ---------  ----------  ----------  ---------  ---------  ----------  -----------  -----------  -----------  -----------  ----------  ----------  ----------  ----------  ----------  ---------  -----------  -----
diagnosis   -0.729376   -0.422146   -0.741887    -0.708389    -0.356276   -0.595587  -0.695648  -0.776369  -0.327336  0.0180992    -0.565373   0.0070243   -0.554416   -0.546343  0.0666286   -0.290866   -0.252567  -0.407293  0.0091705   -0.0760679    -0.775725    -0.461443    -0.78247    -0.732925   -0.419731   -0.589453   -0.658348   -0.793181   -0.413382   -0.320983     0
F1          -0.422146    0.329383    0.997876    0.987344     0.168094    0.505129   0.676557   0.823165   0.144236   -0.317749    0.678711    -0.0963549   0.67419    0.735854   -0.222432    0.203984   0.193099   0.375435   -0.106777   -0.0444726    0.969964      0.30044     0.966231     0.941537    0.117392    0.411329    0.525454    0.744025   0.159877   0.00333921     0
F2          -0.741887    0.997876    0.335918    0.326193     -0.017769   0.252038   0.315248    0.30559   0.0801457  -0.0687715   0.287615     0.385865    0.295219   0.271431   0.00585505   0.197833   0.146559    0.16696   0.0133867    0.0580305    0.361964      0.91202     0.369573     0.353434   0.0827145    0.290229    0.311122    0.306278   0.116263    0.127177      0
F3          -0.708389    0.987344    0.326193    0.986548     0.204505    0.555676   0.715662   0.851338    0.1791    -0.268103    0.690955    -0.085643    0.692689    0.74454   -0.202511    0.248532    0.22689   0.406473   -0.0844156  -0.00756767   0.969675     0.307013     0.971157     0.941735    0.148059    0.453304    0.562165    0.770783   0.184458    0.0469094     0
F4          -0.356276    0.168094   -0.017769    0.204505     0.174838    0.497981   0.686232   0.824246   0.148219    -0.28856    0.732879    -0.0653747   0.727493   0.800829   -0.166555    0.210802   0.206677   0.371635   -0.0746378  -0.0214929    0.963319     0.290565      0.96044     0.959952    0.121543    0.388554    0.511392    0.722009   0.139856   0.000382235    0
F5          -0.595587    0.505129    0.252038    0.555676     0.497981    0.657741   0.519002   0.551009   0.555259    0.582435    0.296856    0.0701391    0.290958   0.241523    0.333703    0.316475   0.247046    0.37982    0.198262    0.281917     0.209018     0.0399769    0.234093     0.202344    0.804667    0.46909     0.431727    0.500119   0.390161    0.496684      0
F6          -0.695648    0.676557    0.315248    0.715662     0.686232    0.519002   0.881619    0.82905   0.598095    0.560161    0.490415    0.0499629    0.541495   0.447968    0.137857    0.739278   0.572048   0.644837    0.225748    0.507276     0.531125     0.258877     0.585188     0.504612    0.564204    0.864097    0.815021    0.81381    0.502439    0.684961      0
F7          -0.776369    0.823165    0.30559     0.851338     0.824246    0.551009    0.82905   0.920462   0.495525    0.329768    0.627609    0.0793739    0.655856   0.612945    0.10019     0.669304    0.69251    0.68469    0.173926    0.448172     0.685826     0.308645     0.726703     0.673187    0.446155    0.751937    0.883184    0.859918   0.401782    0.510736      0
F8          -0.327336    0.144236   0.0801457     0.1791      0.148219    0.555259   0.598095   0.495525   0.457171    0.158464    0.694661    0.0241433    0.707006   0.686826   0.0287715    0.488058   0.438624   0.616413   0.0908483    0.255168     0.829188     0.301004     0.854468     0.80812     0.450145    0.663532    0.750169    0.909272   0.368009    0.363277      0
