           diagn     F1       F2       F3       F4       F5      F6      F7      F8      F9     F10      F11     F12      F13      F14      F15     F16      F17     F18     F19      F20      F21      F22      F23      F24     F25     F26     F27      F28     F29     F30
--------  -------  -------  -------  -------  -------  ------  ------  ------  ------  ------  ------  -------  ------  -------  -------  -------  ------  -------  ------  ------  -------  -------  -------  -------  -------  ------  ------  ------  -------  ------  ------
count       568      568      568      568      568     568     568     568     568     568     568      568     568      568      568      568     568      568     568     568      568      568      568      568      568     568     568     568      568     568     568
mean      0.6285   14.1205  19.3053  91.9148  654.28   0.0963  0.104   0.0884  0.0487  0.1811  0.0628   0.404   1.2174   2.856   40.138    0.007   0.0254  0.0319   0.0118  0.0205  0.0038   16.2531  25.6919  107.125  878.579  0.1323  0.2535  0.2714  0.1143   0.2898  0.0839
std       0.4836   3.5234   4.2885   24.2858  351.924  0.014   0.0524  0.0793  0.0386  0.0273  0.007    0.276   0.552   2.0093   45.2824   0.003   0.0179  0.0302   0.0062  0.0083  0.0026   4.8223   6.1417   33.4747  567.846  0.0228  0.1565  0.208   0.0655   0.0615  0.018
skew      0.2339   12.4145  18.3913  589.802  123850   0.0002  0.0027  0.0063  0.0015  0.0007    0     0.0762   0.3047  4.0372   2050.5      0     0.0003  0.0009     0     0.0001     0     23.2548   37.72   1120.55  322449   0.0005  0.0245  0.0433  0.0043   0.0038  0.0003
kurtosis  -0.532   0.9455   0.6604   0.9945   1.6477   0.4592  1.174   1.4033  1.1715  0.7249  1.3091  3.1145   1.6394  3.4798   5.5037   2.3055   1.9072  5.1027   1.4442  2.1985  3.9222   1.1077   0.4962   1.1306    1.869   0.4188  1.4772  1.1543  0.4884   1.4352  1.6707
variance  -1.717   0.8418   0.7491    0.973   3.6305   0.8589  1.6127  2.0243  1.0794  1.3014  3.0413  17.9255  5.2798  21.8122  49.8489  10.3427  5.0985  48.4526  5.0754  7.8624  26.0969  0.9601   0.2163   1.0877   4.4367   0.5164  3.0816  1.637   -0.5413  4.5074  5.2805
min          0      6.981    9.71     43.79    143.5   0.0526  0.0194    0       0     0.106    0.05   0.1115   0.3602   0.757    6.802   0.0017   0.0023     0       0     0.0079  0.0009    7.93     12.02    50.41    185.2   0.0712  0.0273    0        0     0.1565  0.055
25%          0     11.6975  16.1775  75.135   420.175  0.0863  0.0648  0.0295  0.0203  0.1619  0.0577  0.2324   0.8332   1.605    17.85   0.0052   0.013   0.0151   0.0076  0.0151  0.0022    13.01   21.095   84.1025  514.975  0.1166  0.1469  0.1145  0.0647   0.2504  0.0714
50%          1     13.355   18.855    86.21   548.75   0.0959  0.0925  0.0614  0.0335  0.1792  0.0615  0.3239   1.1095  2.2855   24.485   0.0064   0.0204  0.0259   0.0109  0.0187  0.0032   14.965   25.425   97.655   685.55   0.1313  0.2118  0.2266  0.0998   0.2821   0.08
75%          1      15.78   21.8025  103.875  782.625  0.1053  0.1304  0.1296  0.0737  0.1956  0.0661  0.4773   1.4742  3.3368   45.0175  0.0082   0.0322  0.0418   0.0147  0.0234  0.0045   18.7675  29.7575  125.175  1073.5   0.146   0.3376  0.3814  0.1613   0.3177  0.0921
max          1      28.11    39.28    188.5    2501    0.1634  0.3454  0.4268  0.2012  0.304   0.0974   2.873   4.885    21.98    542.2   0.0311   0.1354   0.396   0.0528  0.079   0.0298    36.04    49.54    251.2    4254    0.2226  1.058   1.252    0.291   0.6638  0.2075
